순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,연령등급,러닝타임,감독,개봉월,계절
135.0,R.I.P.D. : 알.아이.피.디.,2013-08-22,725451071.0,0.00%,101460.0,268.0,5744.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세 관람가,95.0,로베르트 슈벤트케,8.0,여름
136.0,원피스 극장판 Z,2013-03-21,626891000.0,0.00%,93239.0,267.0,3968.0,일본,일본,(주)씨제이이엔엠,애니메이션,전체 관람가,108.0,나가미네 타츠야,3.0,봄
137.0,마마,2013-01-23,662161500.0,0.00%,91143.0,164.0,4091.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),공포,15세 관람가,100.0,안드레스 무시에티,1.0,겨울
138.0,몬스터 주식회사,2001-12-20,933962500.0,0.10%,90143.0,177.0,2594.0,미국,미국,"한국소니픽쳐스릴리징브에나비스타영화㈜,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",애니메이션,전체 관람가,92.0,피트 닥터,12.0,겨울
139.0,더 콜,2013-06-20,626952634.0,0.00%,88953.0,241.0,5412.0,미국,미국,(주)넥스트엔터테인먼트월드(NEW),범죄,청소년 관람불가,94.0,브래드 앤더슨,6.0,여름
140.0,뷰티풀 크리처스,2013-04-18,582030544.0,0.00%,82995.0,278.0,7272.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,스릴러,15세 관람가,124.0,리처드 라그라브네스,4.0,봄
141.0,니모를 찾아서,2003-06-05,757151000.0,0.10%,73215.0,212.0,2917.0,미국,미국,월트디즈니코리아㈜,애니메이션,전체 관람가,100.0,앤드류 스탠튼,6.0,여름
142.0,화이트 고릴라,2013-10-31,464078500.0,0.00%,71796.0,182.0,2181.0,스페인,스페인,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트",가족,전체 관람가,86.0,안드레스 G. 슈에,10.0,가을
143.0,닥터,2013-06-20,495574500.0,0.00%,68312.0,163.0,4131.0,한국,한국,(주)마인스 엔터테인먼트,스릴러,청소년 관람불가,97.0,김성홍,6.0,여름
144.0,라스트 스탠드,2013-02-21,492763000.0,0.00%,66790.0,300.0,7704.0,미국,"미국,한국",(주)씨제이이엔엠,액션,청소년 관람불가,107.0,김지운,2.0,겨울
145.0,정글번치 : 빙산으로의 귀환,2013-10-02,408523000.0,0.00%,65827.0,224.0,2428.0,프랑스,프랑스,(주)팝엔터테인먼트,애니메이션,전체 관람가,71.0,데이빗 알루,10.0,가을
146.0,에반게리온: Q,2013-04-25,435800211.0,0.00%,61423.0,59.0,2778.0,일본,일본,"㈜T-JOY,씨너스엔터테인먼트(주)",애니메이션,15세 관람가,95.0,안노 히데아키,4.0,봄
147.0,호프 스프링즈,2013-04-04,388432500.0,0.00%,55273.0,179.0,3516.0,미국,미국,(주)시너지하우스 (시너지),코미디,청소년 관람불가,100.0,데이빗 프랭클,4.0,봄
148.0,돌핀 : 꿈꾸는 다니엘의 용감한 모험,2013-03-21,354256000.0,0.00%,53744.0,197.0,1897.0,페루,"페루,독일,이탈리아",팝엔터테인먼트,애니메이션,전체 관람가,86.0,에두와르도 슐츠,3.0,봄
149.0,스카이포스 3D,2013-02-28,349260500.0,0.00%,51553.0,183.0,2227.0,미국,"미국,홍콩",(주)미디어데이,애니메이션,전체 관람가,81.0,토니 탕,2.0,겨울
150.0,뜨거운 안녕,2013-05-30,315291000.0,0.00%,47105.0,172.0,3497.0,한국,"한국,일본",(주)나이너스엔터테인먼트,드라마,12세 관람가,99.0,남택수,5.0,봄
